Date,Close,Volume,Trend,Title_Sentiment_Negative,Title_Sentiment_Neutral,Title_Sentiment_Positive
2022-02-11,42407.9375,26954925781.0,0,1,0,0
2022-02-12,42244.46875,18152390304.0,0,0,1,0
2022-02-13,42197.515625,14741589015.0,0,1,0,0
2022-02-14,42586.91796875,20827783012.0,1,1,0,0
2022-02-15,44575.203125,22721659051.0,1,1,0,0
2022-02-16,43961.859375,19792547657.0,0,0,0,1
2022-02-17,40538.01171875,26246662813.0,0,1,0,0
2022-02-18,40030.9765625,23310007704.0,0,1,0,0
2022-02-19,40122.15625,13736557863.0,1,1,0,0
2022-02-20,38431.37890625,18340576452.0,0,0,0,1
2022-02-21,37075.28125,29280402798.0,0,0,1,0
2022-02-22,38286.02734375,25493150450.0,1,1,0,0
2022-02-23,37296.5703125,21849073843.0,0,0,0,1
2022-02-24,38332.609375,46383802093.0,1,1,0,0
2022-02-25,39214.21875,26545599159.0,1,0,1,0
2022-02-26,39105.1484375,17467554129.0,0,0,1,0
2022-02-27,37709.78515625,23450127612.0,0,0,1,0
2022-02-28,43193.234375,35690014104.0,1,1,0,0
2022-03-01,44354.63671875,32479047645.0,1,0,1,0
2022-03-02,43924.1171875,29183112630.0,0,0,1,0
2022-03-03,42451.7890625,24967782593.0,0,0,1,0
2022-03-04,39137.60546875,28516271427.0,0,1,0,0
2022-03-05,39400.5859375,16975917450.0,1,0,1,0
2022-03-06,38419.984375,19745229902.0,0,0,1,0
2022-03-07,38062.0390625,28546143503.0,0,1,0,0
2022-03-08,38737.26953125,25776583476.0,1,1,0,0
2022-03-09,41982.92578125,32284121034.0,1,1,0,0
