title,description,text,date,language
Netflix is already making a docuseries about the alleged billion-dollar bitcoin launderers,"Netflix
 is making a docuseries about one of the worst rappers of all time
. Coincidentally, Heather ""Razzlekhan"" Morgan and her husband, Ilya Lichtenstein, were charged this week with conspiring to launder 119,754 bitcoin, which was stolen in the 2016 hack…","Netflix
 is making a docuseries about one of the worst rappers of all time
. Coincidentally, Heather ""Razzlekhan"" Morgan and her husband, Ilya Lichtenstein, were charged this week with conspiring t… [+1432 chars]",2022-02-11,en
Justice Dept. Announces Raft of Changes Meant to Deter Cyberthreats,"The moves came a week after the department made its largest financial seizure ever, confiscating over $3.6 billion worth of Bitcoin stolen in a 2016 hacking.","Even in cyberspace, the Department of Justice is able to use a tried and true investigative technique, following the money, Ms. Monaco said. Its what led us to Al Capone in the 30s. It helped us dest… [+1176 chars]",2022-02-17,en
Inside Heather Morgan and Ilya Lichtenstein's Confounding Bitcoin Case,The arrests of Ilya Lichtenstein and Heather Morgan left the world of cryptocurrency incredulous: Could this goofy young couple have been Bitcoin’s Bonnie and Clyde?,"The couple would never flee from the country at the risk of losing access to their ability to have children, the lawyer wrote.
At the hearing, a prosecutor, Margaret Lynaugh, said in opposing bail f… [+1600 chars]",2022-02-13,en
"Super Bowl Crypto Ads Feature Larry David, LeBron James, and QR Code for Free Bitcoin","If Sunday’s Super Bowl ads are any indication, crypto has truly arrived in mainstream culture. And if you didn’t catch the game, you can watch the ads here, featuring Larry David, LeBron James, and a QR code that crashed Coinbase’s website within minutes.Read…","If Sundays Super Bowl ads are any indication, crypto has truly arrived in mainstream culture. And if you didnt catch the game, you can watch the ads here, featuring Larry David, LeBron James, and a Q… [+3454 chars]",2022-02-14,en
It Only Took 3 Days for Netflix to Order a Docuseries on the Bonnie and Clyde of the Crypto World,"The news of one of the biggest money laundering schemes in history captivated the world on Tuesday, not so much because of the crime—which involved $4.5 billion in bitcoin and is, yeah, a big deal—but rather because of the couple accused of carrying it out. T…","The news of one of the biggest money laundering schemes in history captivated the world on Tuesday, not so much because of the crimewhich involved $4.5 billion in bitcoin and is, yeah, a big dealbut … [+1948 chars]",2022-02-12,en
Ilya Lichtenstein Held in Bitcoin Case While Heather Morgan Is Given Bail,"A judge appeared more concerned by the flight risk posed by Ilya Lichtenstein than by his wife, Heather Morgan, in a case accusing them of a sweeping scheme to launder stolen cryptocurrency.","The confiscation of the Bitcoin that remained in Mr. Lichtensteins wallet on Feb. 1, worth roughly $3.6 billion at the time, was the Justice Departments largest financial seizure ever, officials have… [+1442 chars]",2022-02-15,en
Playing With Crypto? You’ll Need a Wallet (or Several),Buying and selling NFTs or transferring digital currency is going to require a little leap of faith. Here’s how to get started.,"If people who buy cryptocurrencies intended only to hold on to them as speculative investments, there'd be no real need for crypto wallets. Exchanges and online brokerages that convert dollars to, sa… [+3031 chars]",2022-02-10,en
CRYPTOVERSE-Bitcoin could be laid low by miners' malady - Reuters,Bitcoin miners are feeling the heat - and the pain's rippling downstream to pressure prices.,"Feb 22 (Reuters) - Bitcoin miners are feeling the heat - and the pain's rippling downstream to pressure prices.
The cryptocurrency's spectacular rally in 2021 drew thousands of entrants into mining,… [+4196 chars]",2022-02-22,en
Cryptoverse: Bitcoin gains conflict currency credentials - Reuters,"Bitcoin has leapt since Russia's invasion of Ukraine, bolstered by people in those countries looking to store and move money in anonymous and decentralised crypto.","March 1 (Reuters) - Bitcoin has leapt since Russia's invasion of Ukraine, bolstered by people in those countries looking to store and move money in anonymous and decentralised crypto.
Bitcoin tradin… [+3955 chars]",2022-03-01,en
War Is Calling Crypto’s ‘Neutrality’ Into Question,War in Ukraine and Western sanctions against Russia have made cryptocurrency a hot potato for international politics.,"Whose side is cryptocurrency on? If you had asked Satoshi Nakamoto, the pseudonymous person (or persons) who created the Bitcoin platform in 2008, he/they likely would have rejected the question. The… [+3643 chars]",2022-03-08,en
Cryptocurrency Donations Pour Into Ukraine. This Week in Bitcoin and Crypto News - CNET,"Nonfungible Tidbits: All the bitcoin, cryptocurrency and NFT news for the week ending March 6.","Getty
Welcome to Nonfungible Tidbits. Our focus this week: Russia's war in Ukraine. 
In addition to uprooting the lives of Ukrainians and throwing the international order into chaos, the Russian in… [+3275 chars]",2022-03-05,en
Influencers beware: promoting the wrong crypto could mean facing a class-action lawsuit,An appeals court ruled that promoting unregistered securities on YouTube is the same as doing it in a targeted letter. Now a lawsuit against promoters of the BitConnect crypto Ponzi scheme will continue.,"An appeals court decided shilling for an unregistered security on YouTube is the same thing as doing it in a letter.
Illustration by Alex Castro / The Verge
The story of BitConnect doesnt include a… [+3046 chars]",2022-02-19,en
Bitcoin and Ether Are Helping Fund Ukraine's Resistance - CNET,Nearly $20 million has been raised in cryptocurrencies like bitcoin and ether since Russian forces invaded Ukraine last week.,"Nurphoto/Getty
As Russia launched an invasion into his home country last Thursday, Ukranian photographer Vitaliy Raskalov found himself a world away in Mexico City. When I spoke with him over Telegr… [+7815 chars]",2022-02-28,en
CRYPTOVERSE-Bitcoin runs into Russian rules and regiments - Reuters,Bristling tensions and looming laws in Europe could offer clues to two questions: Can bitcoin be a safe-haven asset? And can Russia emerge as a crypto superpower?,"Feb 15 (Reuters) - Bristling tensions and looming laws in Europe could offer clues to two questions: Can bitcoin be a safe-haven asset? And can Russia emerge as a crypto superpower?
The answer to th… [+4123 chars]",2022-02-15,en
Cryptocurrencies in a time of war - Reuters.com,"Cryptocurrencies have been close to the headlines since Russia invaded Ukraine, with the ever-volatile bitcoin in demand in Russia and beyond.","LONDON, March 4 (Reuters) - Cryptocurrencies have been close to the headlines since Russia invaded Ukraine, with the ever-volatile bitcoin in demand in Russia and beyond.
Here are some charts that l… [+3634 chars]",2022-03-04,en
Wall St Week Ahead Crypto investors face more uncertainty after rocky start to 2022 - Reuters,"Investors are bracing for more gyrations in bitcoin and other cryptocurrencies, as worries over a hawkish Federal Reserve threaten to squelch risk appetite across markets.","NEW YORK, Feb 11 (Reuters) - Investors are bracing for more gyrations in bitcoin and other cryptocurrencies, as worries over a hawkish Federal Reserve threaten to squelch risk appetite across markets… [+5024 chars]",2022-02-11,en
Intel launches blockchain chip to tap crypto boom - Reuters,Intel Corp on Friday launched a new chip for blockchain applications such as Bitcoin mining and minting NFTs to cash in on the rising usage of cryptocurrencies.,"Feb 11 (Reuters) - Intel Corp on Friday launched a new chip for blockchain applications such as Bitcoin mining and minting NFTs to cash in on the rising usage of cryptocurrencies.
The chip will ship… [+1192 chars]",2022-02-11,en
"LIVE MARKETS Bitcoin, not exactly a safe haven today - Reuters","Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at <a href=""mailto:markets.research@thomsonreuters.com"" target=""_blank"">markets.research@thomsonreuters.com</a>","Feb 24 - Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at markets.research@thomsonreuters.com
BITCOIN, NOT EXACTLY A … [+6882 chars]",2022-02-24,en
"Ukraine asking for bitcoin donations is bullish for the cryptocurrency, veteran strategist Tom Lee says","""Still think bitcoin is not useful?"" Fundstrat's Tom Lee wrote in a note to clients, after Ukraine asked for donations.","The Ukrainian government asking for donations in bitcoin shows the utility of the cryptocurrency and is a positive sign for the market, veteran strategist Tom Lee has said.
Ukraine government accoun… [+1750 chars]",2022-03-01,en
The Beginner’s Guide to Learning to Trade in Bitcoin,"2021 was a year of significant highs and lows for crypto investors. As the market fluctuates, the curiosity surrounding crypto trading looms large. As a result, it will be worthwhile learning how to trade in Bitcoin. Suppose you are feeling overwhelmed with t…","2021 was a year of significant highs and lows for crypto investors. As the market fluctuates, the curiosity surrounding crypto trading looms large. As a result, it will be worthwhile learning how to … [+5479 chars]",2022-02-11,en
Twitter aims for edge in Big Tech's crypto contest with OpenNode investment,Twitter invested an undisclosed sum in OpenNode's $20 million funding round that valued the Bitcoin payments provider at $220 million.,"The news: Tech heavyweight Twitter invested an undisclosed sum in OpenNode's $20 million funding round that valued the Bitcoin payments provider at $220 million, per CoinDesk.
Insider Intelligence
… [+2696 chars]",2022-02-11,en
"'Shark Tank' investor Kevin O'Leary says bitcoin won't hit $300,000 until institutions are comfortable buying the crypto","""If you want to talk about bitcoin going to $100,000, $200,000, $300,000, it's going to be when institutions can finally buy it,"" O'Leary said.","Don't expect bitcoin to double or triple in price anytime soon, going by ""Shark Tank"" investor Kevin O'Leary's prediction.
""If you want to talk about bitcoin going to $100,000, $200,000, $300,000, i… [+2200 chars]",2022-02-18,en
"Cryptocurrencies rebound, with bitcoin rising as much as 14%, as Russian and Ukrainian buyers pile in","As the ruble crumbles, Russian buyers have flocked to bitcoin, while millions of dollars in crypto donations are going to Ukraine.","Bitcoin rallied to a two-week high on Tuesday in spite of the turmoil on the broader markets, thanks to a surge in buying by Russians and Ukrainians who may be seeking refuge in cryptocurrencies as t… [+2894 chars]",2022-03-01,en
Bukele to propose granting Salvadoran citizenship to foreign investors - Reuters,El Salvador President Nayib Bukele on Sunday said he will send Congress a proposal to grant citizenship to foreigners who invest in the Central American country as well as other initiatives to reduce government hurdles in order to attract investment projects.,"SAN SALVADOR, Feb 20 (Reuters) - El Salvador President Nayib Bukele on Sunday said he will send Congress a proposal to grant citizenship to foreigners who invest in the Central American country as we… [+1144 chars]",2022-02-20,en
