Date,Close,Volume,Trend,Title_Sentiment_Negative,Title_Sentiment_Neutral,Title_Sentiment_Positive
2022-02-05,0.1471409946680069,587009429,0,1,0,0
2022-02-06,0.15376999974250793,757004142,1,1,0,0
2022-02-07,0.1655779927968979,1791358822,1,1,0,0
2022-02-08,0.15840500593185425,1190116000,0,0,1,0
2022-02-09,0.1591230034828186,778670798,1,0,1,0
2022-02-10,0.15188899636268616,1053630584,0,0,1,0
2022-02-11,0.14484700560569763,776730555,0,0,1,0
2022-02-12,0.14440500736236572,602699408,0,0,1,0
2022-02-13,0.14894799888134003,1581065491,1,0,1,0
2022-02-14,0.14600299298763275,898042727,0,0,1,0
2022-02-15,0.151760995388031,674961496,1,0,0,1
2022-02-16,0.14909499883651733,505588732,0,0,0,1
2022-02-17,0.1385519951581955,721382126,0,1,0,0
2022-02-18,0.1387680023908615,563817289,1,1,0,0
2022-02-19,0.14120599627494812,655782652,1,0,0,1
2022-02-20,0.13686800003051758,490138547,0,0,1,0
2022-02-21,0.12849000096321106,913773124,0,1,0,0
2022-02-22,0.13155299425125122,711967119,1,1,0,0
2022-02-23,0.12784600257873535,587472906,0,0,1,0
2022-02-24,0.12381300330162048,2046477370,0,1,0,0
2022-02-25,0.12757599353790283,805161073,1,0,1,0
2022-02-26,0.12764699757099152,535575654,1,0,1,0
2022-02-27,0.12311100214719772,592809151,0,0,1,0
2022-02-28,0.13315600156784058,765755924,1,0,1,0
2022-03-01,0.1339379996061325,876604512,1,0,1,0
2022-03-02,0.1329900026321411,709536320,0,1,0,0
2022-03-03,0.12961000204086304,518193386,0,1,0,0
2022-03-04,0.12259099632501602,650665594,0,1,0,0
